,name,city,content,score,date
0,忻钰坤, ,“你敢保证你一辈子不得病？”纯粹、直接、有力！常常感叹：电影只能是电影。但每看到这样的佳作，又感慨：电影不只是电影！由衷的希望这部电影大卖！成为话题！成为榜样！成为国产电影最该有的可能。,力荐,2018-07-04
1,沐子荒, ,"王传君所有不被外人理解的坚持，都在这一刻得到了完美释放。他不是关谷神奇，他是王传君。
你看，即使依旧烂片如云，只要还有哪怕极少的人坚持，中国影视也终于还是从中生出了茁壮的根。
我不是药神，治不好这世界。但能改变一点，总归是会好的。",力荐,2018-07-03
2,凌睿,江苏南京,别说这是“中国版《达拉斯买家俱乐部》”了，这是中国的真实事件改编的中国电影，是属于我们自己的电影。不知道就去百度一下“陆勇”，他卖印度抗癌药的时候《达拉斯买家俱乐部》还没上映呢。所以别提《达拉斯买家俱乐部》了，只会显得你无知。,力荐,2018-06-30
3,徐若风,浙江杭州,放豆瓣语境下，是部时至今日终于拍出来的国产“高分韩国电影”——拿现实题材拍商业类型片，社会性意义摆在那，群戏也处理得相当不错。对我们国家而言，这样的电影多一部是一部，走一步是一步。,推荐,2018-06-06
4,桃桃淘电影,"P&#39;yŏngyang, North Korea",最大的病，其实是穷病。真的被感动了，整体都很成熟，也有些许韩片的影子。几个演员表演都非常出色。可看性和内在的表达都不错。这个世界最荒诞在于，越贴近真实，真实越荒诞。人这一生，太不易了。最后，王传君，加油哦！,推荐,2018-06-19
5,远世祖,浙江杭州,文牧野眼睛太毒了，观众的笑点、泪点、痛点被他牢牢抓住，徐峥现在不拼演技开始掏心炸肺放脱自我了，药物在中国绝对是个“不可说”，但这个电影说了它能说的，也不显山不漏水的说了它所不能说的，讲的是现实，但看过电影之后才会明白其实是超现实，2018最佳!,力荐,2018-06-30
6,影志,北京,“今后都会越来越好吧，希望这一天早点来”口罩成为符号，不是雾霾，而是人性的仪式，结尾竟然看到《辛德勒名单》一样的救赎。通俗感人，上海电影节首映哭倒一片，基于真实事件改编的社会意义加分，或许《我不是药神》之于中国，就像《摔跤吧爸爸》之于印度吧…能看到就不错。“其实只有一种病：穷病”,力荐,2018-06-19
7,开开kergelen,江苏南京,小时候路过一家药店，门口的对联写着“只愿世间无疾病，何愁架上药染尘”,力荐,2018-07-04
8,Noodles, ,人生建议：别买零食，吃不下的。,力荐,2018-07-03
9,哪吒男,广东深圳,最喜欢王传君的表演啊，几乎所有泪点都给他了！！而他曾经的同伴们，下月继续拿《爱情公寓》电影版面对观众。这个圈子里还是有不爱赚快钱的年轻演员，真好。,null,2018-06-25
10,栀虞, ,王传君终于做了一个正确的决定，没有去参演那部死妈电影,力荐,2018-07-04
11,大島,"Nara, Japan",你的一个举动可能会改变别人的一生，酒吧领班从此爱上了钢管舞。,力荐,2018-07-05
12,木卫二,北京,只要提到价值，中国电影的标准便会坍塌。明眼人都看得出，幕后黑哪是一脸奸相的大药厂，又或者，结尾辩方律师可以再底气不足一些。前后大发感言的两名老太，表演模式有何本质不同。徐峥的转变与倒贴，全是目睹惨相的愧疚觉悟——而在这样一部电影里，最不缺的就是惨。被消灭的，何止是戴口罩的病人,还行,2018-07-04
13,LOOK,上海,比较反感这类戴着批判现实主义帽子的电影却使用了大量讨好大众的商业片常用媚俗技巧（重点表现在笑点与哭点的有意设计），剧作方面最大的问题是徐峥的转变缺乏说服力缺乏震撼力度，人性恶看不到，人性善很牵强。2.5,较差,2018-06-26
14,张小北,北京,电影能做到的好，这部电影都做到了。剩下的是这个时代不让它更好。在我们刚刚经历过的时代巨变洪流之中，有无数这样的小人物在时代洪流中艰难生存着，同时在竭力不丢失他们的灵魂。终于有这样一部电影，让我们能够看到时代，看到善意，看到希望。希望这部电影也能被这个时代善待。,力荐,2018-06-20
15,喝可乐的鸟, ,炸裂，哭成狗，从观影体验上看，比达拉斯买家俱乐部好，之间隔了差不多五个《动物世界》，导演处女作就这完成度，只能说剧本实在太好。我爸爸也是药神的受益者之一，否则我应该房子也没了。感谢他们🙏。,力荐,2018-07-03
16,OreoOlymLee,吉林长春,微妙地在谄媚审查机制和迎合市场需求间取得平衡。看似蜻蜓点水地在法理与人情之间徘徊着作了一番试探性反思，却无比精明地把通过对政府（结尾法制宣传）和主角（“神性”的被赋予）这两极所本该承受的无论社会的、道义上的道德指责一股脑儿的推给大资本，本质上是取巧的推卸责任行为。,较差,2018-07-03
17,SELVEN,北京,50/100 又一个高压审查下变了味儿的作品，整部片子里都是好人，就外国奸商是坏蛋。观众感动得一塌糊涂，再看完结局字幕，药进医保了，吃下了这颗廉价但有效的安慰剂。就一个问题，中国进口药的高价是外商定价的锅？牵扯到版权就更让人难免浮想联翩。,较差,2018-06-30
18,给你好看,关注此人,为一句“谁家还没个病人”泪流满面 感叹生命在“穷病”面前无药可救 感慨中国终于有了属于我们自己的有力量的电影 所有演员都非常出色 近年最好的群像表演 请记住这些电影人 宁浩 文牧野 徐峥 周一围 王传君 谭卓 章宇 杨新铭 王砚辉 咱们电影还是有希望的 愿中国的电影越来越好 谢谢,力荐,2018-07-04
19,任仁忍,北京,可别吹了，有陆勇案这么好的原型故事做底子却拍成了超长春晚小品，先来段子笑料堆砌后催泪煽情。沾了题材的光，其实没什么货真价实的东西，人物的转折和情节设计的功能性和指向性也非常套路，故事讲得都差强人意，更遑论社会批判了。借赵本山的小品说，真没要啥自行车，看看报道可不好笑且远比这有启发,较差,2018-07-04
20,栀虞, ,王传君终于做了一个正确的决定，没有去参演那部死妈电影,力荐,2018-07-04
21,大島,"Nara, Japan",你的一个举动可能会改变别人的一生，酒吧领班从此爱上了钢管舞。,力荐,2018-07-05
22,木卫二,北京,只要提到价值，中国电影的标准便会坍塌。明眼人都看得出，幕后黑哪是一脸奸相的大药厂，又或者，结尾辩方律师可以再底气不足一些。前后大发感言的两名老太，表演模式有何本质不同。徐峥的转变与倒贴，全是目睹惨相的愧疚觉悟——而在这样一部电影里，最不缺的就是惨。被消灭的，何止是戴口罩的病人,还行,2018-07-04
23,LOOK,上海,比较反感这类戴着批判现实主义帽子的电影却使用了大量讨好大众的商业片常用媚俗技巧（重点表现在笑点与哭点的有意设计），剧作方面最大的问题是徐峥的转变缺乏说服力缺乏震撼力度，人性恶看不到，人性善很牵强。2.5,较差,2018-06-26
24,张小北,北京,电影能做到的好，这部电影都做到了。剩下的是这个时代不让它更好。在我们刚刚经历过的时代巨变洪流之中，有无数这样的小人物在时代洪流中艰难生存着，同时在竭力不丢失他们的灵魂。终于有这样一部电影，让我们能够看到时代，看到善意，看到希望。希望这部电影也能被这个时代善待。,力荐,2018-06-20
25,喝可乐的鸟, ,炸裂，哭成狗，从观影体验上看，比达拉斯买家俱乐部好，之间隔了差不多五个《动物世界》，导演处女作就这完成度，只能说剧本实在太好。我爸爸也是药神的受益者之一，否则我应该房子也没了。感谢他们🙏。,力荐,2018-07-03
26,OreoOlymLee,吉林长春,微妙地在谄媚审查机制和迎合市场需求间取得平衡。看似蜻蜓点水地在法理与人情之间徘徊着作了一番试探性反思，却无比精明地把通过对政府（结尾法制宣传）和主角（“神性”的被赋予）这两极所本该承受的无论社会的、道义上的道德指责一股脑儿的推给大资本，本质上是取巧的推卸责任行为。,较差,2018-07-03
27,SELVEN,北京,50/100 又一个高压审查下变了味儿的作品，整部片子里都是好人，就外国奸商是坏蛋。观众感动得一塌糊涂，再看完结局字幕，药进医保了，吃下了这颗廉价但有效的安慰剂。就一个问题，中国进口药的高价是外商定价的锅？牵扯到版权就更让人难免浮想联翩。,较差,2018-06-30
28,给你好看,关注此人,为一句“谁家还没个病人”泪流满面 感叹生命在“穷病”面前无药可救 感慨中国终于有了属于我们自己的有力量的电影 所有演员都非常出色 近年最好的群像表演 请记住这些电影人 宁浩 文牧野 徐峥 周一围 王传君 谭卓 章宇 杨新铭 王砚辉 咱们电影还是有希望的 愿中国的电影越来越好 谢谢,力荐,2018-07-04
29,任仁忍,北京,可别吹了，有陆勇案这么好的原型故事做底子却拍成了超长春晚小品，先来段子笑料堆砌后催泪煽情。沾了题材的光，其实没什么货真价实的东西，人物的转折和情节设计的功能性和指向性也非常套路，故事讲得都差强人意，更遑论社会批判了。借赵本山的小品说，真没要啥自行车，看看报道可不好笑且远比这有启发,较差,2018-07-04
30,芦哲峰,辽宁沈阳,直面现实问题，勇气可嘉。但把矛头指向药物研发厂家是不公正的，药物研发需要巨额资金投入和漫长的时间成本投入。试想如果无人去研发药物，仿制药又何从仿起？对于病人来说，那才真的是只能等死。不过要是把矛头指向了应该指向的所在，这部电影也就无法上映了，所以想通过电影来改变现实的人，醒醒吧。,还行,2018-07-05
31,头马,北京,一部一切为了10W+核心叙事目的服务的伪现实主义之作。弱肉强食的中国人太需要自我感动和自我构建了。流下眼泪便以为自己拥有了善良。,null,2018-07-01
32,姨妈的鸭,上海,特效是真实人性，特技是上映成功。,力荐,2018-06-30
33,白玉堂,香港,他想活下去，他有什么罪！！5555，我妆都哭花了。几个主演的演绎太走心了，特别是徐峥和王传君，感觉要成精了。仅有几个镜头的老奶奶也贡献了催人泪下的精彩演绎。提醒大家，一定要带纸巾！一定要带纸巾！一定要带纸巾！回头我会写一个走心的长评。,力荐,2018-07-04
34,小夕克莱尔, ,“他才20岁，想活命有什么罪”,力荐,2018-07-04
35,九只苍蝇撞墙,"Montréal, Canada",完全没有讽刺的意思，我觉得做为一段儿带上海腔的催泪快板儿书，挺煽的。但是电影意识，没找见。不过如今去影院看电影，大家都不在乎后者有还是没有了。,较差,2018-07-01
36,亵渎电影,北京,我就是想实名表扬一下王传君，内地青年演员里竟然也有这种会演戏并且很卖力的实力派演员，这要是搁在好莱坞，他能拿下一座奥斯卡最佳男配。像这样的现实主义题材电影，如果编剧不是韩家女，它可能连拍摄许可证都拿不到，过审更没戏，它在国内的审查制度下没有可复制性，像这样的电影，且看且珍惜吧！,推荐,2018-07-07
37,frozenmoon,北京,不涂彩不抹粉不抛光，近年来少见的现实主义力作。更可贵的是，清清楚楚地写中国的事，写印度的事，清清楚楚地表明这是上海，车牌上大大方方印着沪，而现在很多电影已经愈发架空现实了。战争题材写到恐怖分子得虚构一个不存在的国家，犯罪题材得虚构一个不存在的城市。《药神》为中国现实主义挽回尊严。,推荐,2018-06-30
38,陀螺凡达可,"Paris, France",三星电影，优缺点都很明显。多加一星是很佩服创作者戴着脚镣跳舞时挟带的私货，表面上其实很媚俗地迎合了审查，但同时又把所有的“不能说”都藏在了全片的各个角落，只露出来一点点让有心有共鸣的观众能够心领神会，就跟海斯法典时期的美国电影一样，给观影添了一层乐趣。,推荐,2018-07-05
39,方枪枪,上海,一会逗你笑，一会又让你哭。王传君吃火锅最后面对徐峥那段：由嬉皮笑脸到嘴角抽搐再到心碎无奈推门而出，微表情拿捏到位，太好了。,推荐,2018-06-30
40,芦哲峰,辽宁沈阳,直面现实问题，勇气可嘉。但把矛头指向药物研发厂家是不公正的，药物研发需要巨额资金投入和漫长的时间成本投入。试想如果无人去研发药物，仿制药又何从仿起？对于病人来说，那才真的是只能等死。不过要是把矛头指向了应该指向的所在，这部电影也就无法上映了，所以想通过电影来改变现实的人，醒醒吧。,还行,2018-07-05
41,头马,北京,一部一切为了10W+核心叙事目的服务的伪现实主义之作。弱肉强食的中国人太需要自我感动和自我构建了。流下眼泪便以为自己拥有了善良。,null,2018-07-01
42,姨妈的鸭,上海,特效是真实人性，特技是上映成功。,力荐,2018-06-30
43,白玉堂,香港,他想活下去，他有什么罪！！5555，我妆都哭花了。几个主演的演绎太走心了，特别是徐峥和王传君，感觉要成精了。仅有几个镜头的老奶奶也贡献了催人泪下的精彩演绎。提醒大家，一定要带纸巾！一定要带纸巾！一定要带纸巾！回头我会写一个走心的长评。,力荐,2018-07-04
44,小夕克莱尔, ,“他才20岁，想活命有什么罪”,力荐,2018-07-04
45,九只苍蝇撞墙,"Montréal, Canada",完全没有讽刺的意思，我觉得做为一段儿带上海腔的催泪快板儿书，挺煽的。但是电影意识，没找见。不过如今去影院看电影，大家都不在乎后者有还是没有了。,较差,2018-07-01
46,亵渎电影,北京,我就是想实名表扬一下王传君，内地青年演员里竟然也有这种会演戏并且很卖力的实力派演员，这要是搁在好莱坞，他能拿下一座奥斯卡最佳男配。像这样的现实主义题材电影，如果编剧不是韩家女，它可能连拍摄许可证都拿不到，过审更没戏，它在国内的审查制度下没有可复制性，像这样的电影，且看且珍惜吧！,推荐,2018-07-07
47,frozenmoon,北京,不涂彩不抹粉不抛光，近年来少见的现实主义力作。更可贵的是，清清楚楚地写中国的事，写印度的事，清清楚楚地表明这是上海，车牌上大大方方印着沪，而现在很多电影已经愈发架空现实了。战争题材写到恐怖分子得虚构一个不存在的国家，犯罪题材得虚构一个不存在的城市。《药神》为中国现实主义挽回尊严。,推荐,2018-06-30
48,陀螺凡达可,"Paris, France",三星电影，优缺点都很明显。多加一星是很佩服创作者戴着脚镣跳舞时挟带的私货，表面上其实很媚俗地迎合了审查，但同时又把所有的“不能说”都藏在了全片的各个角落，只露出来一点点让有心有共鸣的观众能够心领神会，就跟海斯法典时期的美国电影一样，给观影添了一层乐趣。,推荐,2018-07-05
49,方枪枪,上海,一会逗你笑，一会又让你哭。王传君吃火锅最后面对徐峥那段：由嬉皮笑脸到嘴角抽搐再到心碎无奈推门而出，微表情拿捏到位，太好了。,推荐,2018-06-30
50,Peter Cat,"Paris, France",对《药神》所有褒奖都建立在中国电影市场的贫乏和落后之上，纯从视听剧作的技艺层面，《药神》只是一个中规中矩没犯错的工业标准产品，甚至在导演层面是平庸的，连一个令人印象深刻的调度或者美学设计都找不到，如何可能有欲望再看一遍呢？但它又给中国工业指向了一个正确方向...,还行,2018-07-01
51,谢飞导演,北京,祝贺学院硕士毕业生文牧野出手不凡，导演了这样一部扎实、感人、有见地的处女作！看片中常在想：在疾病、死亡面前，一些常规的道义、是非怎么都成了反意？先人说过“合情合理才是好法。”那么实践证明已经不合情理的法律规章就应该改掉它！直面现实，促人思索，这样的作品值得夸赞！,力荐,2018-07-10
52,把噗,北京,"极不舒服的“现实""消费，比🚕还恶劣。",较差,2018-06-30
53,吃瓜少年,浙江宁波,连群演老太太都猛戳我泪点，以后再也不能吹自己泪点高了,力荐,2018-07-01
54,南悠一,北京,当看见草坪上奔跑的孩子，你流下了两行“前后紧密相连”的热泪：第一行是说，看见了孩子在草地上奔跑，多好啊；第二行是说，和所有的人类在一起，被草地上奔跑的孩子们所感动，多好啊。（我复制的，没错，这部电影太媚俗了，因为看完你只会觉得自己一定要多挣钱。）,较差,2018-07-04
55,悲伤哦林吉, ,"这九分并不是针对这部电影的基本创作，而在于它的题材，表现的社会现实意义大过了电影里的其他东西..
拍成这样，7.0 over",较差,2018-06-30
56,袁牧,"Phnum Pénh, Cambodia",看了一下差评，基本是自诩为独立专业的几个影评人给的吧，果然又要说电影语言，商业媚俗之类，固然把这个题材拍成侯孝贤、蔡明亮那样，影评人会有高潮，但你们其实喜欢的是影院里就坐着你们两三个人那种感觉不是吗？没有这种电影，电影人在时代急速抛弃弱势群体的巨变中，就是完全失语的。,推荐,2018-07-06
57,西楼尘,江苏苏州,病是一种罪，上帝也不能赦免；穷是一种病，药神也无法医治。思慧把脱掉的衣服一件件穿上，黄毛把留长的头发一寸寸剪下，程勇把缺口补上，受益把口罩摘下。法和情谁上谁下，命和钱谁上谁下，灾厄的红药水抹到谁的头顶，侥幸的救世主降到何方人间。许多人终其一生都在寻一种药，没药的世界我们能不能活？,还行,2018-07-04
58,冷月心,上海,8.5，给五星以资鼓励。每个人都演技在线，演思慧的女演员在暴裂无声里演哑巴的老婆，演得真的很好，心目中的今年国产片前二竟然都有她。,力荐,2018-07-04
59,谢谢你们的鱼,北京,它远远不够好，但是对于现在的中国电影市场来说，它又好得要命。,推荐,2018-07-03
60,Peter Cat,"Paris, France",对《药神》所有褒奖都建立在中国电影市场的贫乏和落后之上，纯从视听剧作的技艺层面，《药神》只是一个中规中矩没犯错的工业标准产品，甚至在导演层面是平庸的，连一个令人印象深刻的调度或者美学设计都找不到，如何可能有欲望再看一遍呢？但它又给中国工业指向了一个正确方向...,还行,2018-07-01
61,谢飞导演,北京,祝贺学院硕士毕业生文牧野出手不凡，导演了这样一部扎实、感人、有见地的处女作！看片中常在想：在疾病、死亡面前，一些常规的道义、是非怎么都成了反意？先人说过“合情合理才是好法。”那么实践证明已经不合情理的法律规章就应该改掉它！直面现实，促人思索，这样的作品值得夸赞！,力荐,2018-07-10
62,把噗,北京,"极不舒服的“现实""消费，比🚕还恶劣。",较差,2018-06-30
63,吃瓜少年,浙江宁波,连群演老太太都猛戳我泪点，以后再也不能吹自己泪点高了,力荐,2018-07-01
64,南悠一,北京,当看见草坪上奔跑的孩子，你流下了两行“前后紧密相连”的热泪：第一行是说，看见了孩子在草地上奔跑，多好啊；第二行是说，和所有的人类在一起，被草地上奔跑的孩子们所感动，多好啊。（我复制的，没错，这部电影太媚俗了，因为看完你只会觉得自己一定要多挣钱。）,较差,2018-07-04
65,悲伤哦林吉, ,"这九分并不是针对这部电影的基本创作，而在于它的题材，表现的社会现实意义大过了电影里的其他东西..
拍成这样，7.0 over",较差,2018-06-30
66,袁牧,"Phnum Pénh, Cambodia",看了一下差评，基本是自诩为独立专业的几个影评人给的吧，果然又要说电影语言，商业媚俗之类，固然把这个题材拍成侯孝贤、蔡明亮那样，影评人会有高潮，但你们其实喜欢的是影院里就坐着你们两三个人那种感觉不是吗？没有这种电影，电影人在时代急速抛弃弱势群体的巨变中，就是完全失语的。,推荐,2018-07-06
67,西楼尘,江苏苏州,病是一种罪，上帝也不能赦免；穷是一种病，药神也无法医治。思慧把脱掉的衣服一件件穿上，黄毛把留长的头发一寸寸剪下，程勇把缺口补上，受益把口罩摘下。法和情谁上谁下，命和钱谁上谁下，灾厄的红药水抹到谁的头顶，侥幸的救世主降到何方人间。许多人终其一生都在寻一种药，没药的世界我们能不能活？,还行,2018-07-04
68,冷月心,上海,8.5，给五星以资鼓励。每个人都演技在线，演思慧的女演员在暴裂无声里演哑巴的老婆，演得真的很好，心目中的今年国产片前二竟然都有她。,力荐,2018-07-04
69,谢谢你们的鱼,北京,它远远不够好，但是对于现在的中国电影市场来说，它又好得要命。,推荐,2018-07-03
70,痞影人科莱昂,北京,“送出去挺好的，将来比咱们有出息”，结合全片看这句台词会非常有意思。前半段刻意营造的笑料过多，同时使得整部片的意旨变得暧昧不清，而原型人物的重量和意义也被那一个个太过戏剧性（和喜剧性）的情节所无形消解。以及，在这个首尾都需要字幕进行“立场矫正”的环境下，还是别类比《达拉斯》了吧。,还行,2018-06-30
71,刘小黛,江苏无锡,虽然有刻意有煽情，但是这个时代触碰这样的题材实在难得，电影拍出了集体群像下的人物特质，还拥有了史诗感。现实题材不做无畏的对抗，只是展现。魔幻到让人怀疑真实，但是根据真事改编的真相知道后更是眼泪掉下来。主角原型无锡药侠陆勇先生，企业家，有白血病，电影作了一定模糊处理，新闻了解一下。,推荐,2018-07-03
72,墨墨lynn, ,听豆瓣吹的天上有地下无的第一天就去看了，并没好到神片的地步。前期铺垫过长，后面有渐入佳境。主线没什么惊喜，就是商人为利卖仿药然后良心发现拯救世界的这种伟光正的老套路，题材加分但程勇的前后转变太突兀了，最后“十里长街”送程勇的情节有点刻意煽情了,较差,2018-06-30
73,刘肥燕, ,怎么不能拿《达拉斯买家俱乐部》说事了？同样的题材，人家对人性挖掘地多好，我们只会煽情。,还行,2018-07-04
74,阿北,北京,好电影,力荐,2018-07-16
75,德川咪咪,上海,"《我不是药神》看到后半段，纽太普疯狂地啜泣起来，声音超大，以至于前后左右都开始看我们。
情急之下，我从裤子口袋里拉出一个口罩帮他戴上。顿时大家露出了了然又理解的表情。",力荐,2018-07-07
76,末摘花,福建福州,意外发现王传君的演技真的很棒,力荐,2018-07-04
77,怂人皮埃罗,上海,程勇的脸像七月的天说变就变，人物行为逻辑全没毛病就是最大的逻辑毛病，和张院士干架那场戏完全就是胡来，正反派说唱脸谱，药价贵药价贵药价为嘛贵？洞悉人性拉倒吧，“谁家没个病人啊”昭然若揭，利用同理心搞场社会宣泄罢了。影像更别提。,较差,2018-07-04
78,刮刮油,北京,带着浓浓的宁浩味，胜在题材，和徐峥。“世界上只有一种病，穷病，穷病救不了的”，直白的说到了痛处。一边卖药赚钱，一边拿钱买命，一切法和理，都在“活着”面前脱得赤条条。最后那段话为过审的目的明显，实际上格列卫尽管被列入部分地区的医保，却是有条件的，实际情况哪是这么一句能总结的。,力荐,2018-07-05
79,羚羊的灵魂,北京,我一直以为牧师是金士杰演的哈哈哈哈哈哈竟然不是,推荐,2018-06-30
80,痞影人科莱昂,北京,“送出去挺好的，将来比咱们有出息”，结合全片看这句台词会非常有意思。前半段刻意营造的笑料过多，同时使得整部片的意旨变得暧昧不清，而原型人物的重量和意义也被那一个个太过戏剧性（和喜剧性）的情节所无形消解。以及，在这个首尾都需要字幕进行“立场矫正”的环境下，还是别类比《达拉斯》了吧。,还行,2018-06-30
81,刘小黛,江苏无锡,虽然有刻意有煽情，但是这个时代触碰这样的题材实在难得，电影拍出了集体群像下的人物特质，还拥有了史诗感。现实题材不做无畏的对抗，只是展现。魔幻到让人怀疑真实，但是根据真事改编的真相知道后更是眼泪掉下来。主角原型无锡药侠陆勇先生，企业家，有白血病，电影作了一定模糊处理，新闻了解一下。,推荐,2018-07-03
82,墨墨lynn, ,听豆瓣吹的天上有地下无的第一天就去看了，并没好到神片的地步。前期铺垫过长，后面有渐入佳境。主线没什么惊喜，就是商人为利卖仿药然后良心发现拯救世界的这种伟光正的老套路，题材加分但程勇的前后转变太突兀了，最后“十里长街”送程勇的情节有点刻意煽情了,较差,2018-06-30
83,刘肥燕, ,怎么不能拿《达拉斯买家俱乐部》说事了？同样的题材，人家对人性挖掘地多好，我们只会煽情。,还行,2018-07-04
84,阿北,北京,好电影,力荐,2018-07-16
85,德川咪咪,上海,"《我不是药神》看到后半段，纽太普疯狂地啜泣起来，声音超大，以至于前后左右都开始看我们。
情急之下，我从裤子口袋里拉出一个口罩帮他戴上。顿时大家露出了了然又理解的表情。",力荐,2018-07-07
86,末摘花,福建福州,意外发现王传君的演技真的很棒,力荐,2018-07-04
87,怂人皮埃罗,上海,程勇的脸像七月的天说变就变，人物行为逻辑全没毛病就是最大的逻辑毛病，和张院士干架那场戏完全就是胡来，正反派说唱脸谱，药价贵药价贵药价为嘛贵？洞悉人性拉倒吧，“谁家没个病人啊”昭然若揭，利用同理心搞场社会宣泄罢了。影像更别提。,较差,2018-07-04
88,刮刮油,北京,带着浓浓的宁浩味，胜在题材，和徐峥。“世界上只有一种病，穷病，穷病救不了的”，直白的说到了痛处。一边卖药赚钱，一边拿钱买命，一切法和理，都在“活着”面前脱得赤条条。最后那段话为过审的目的明显，实际上格列卫尽管被列入部分地区的医保，却是有条件的，实际情况哪是这么一句能总结的。,力荐,2018-07-05
89,羚羊的灵魂,北京,我一直以为牧师是金士杰演的哈哈哈哈哈哈竟然不是,推荐,2018-06-30
90,乌鸦火堂,北京,虽不算完美，有些国产片的小毛病，但牛逼在于华语片环境下这个故事和题材，以及所有的演员。敏感的社会话题，法外义侠的设定，对现实的反衬，对制度的思考，群戏太棒。徐峥和宁浩，在《无人区》之后又一次探明了审查的底线，还有这个类型片的价值，对于华语片意义重大,推荐,2018-07-04
91,荔枝白羊悅,江苏南京,完全靠身边人安利，说是上半年欣赏过的最好电影不为过。或许不是每个人都得过“穷病”，但总看过这样的人，剧情不道德绑架，也让很多人去了解原型和幕后，里面那位卖假药的审问室时表现让我惊讶,推荐,2018-07-03
92,无情,关注此人,看的时候记得带好纸巾[捂脸]我觉得不论这部片拍摄手法如何艺术价值多高，这种题材的电影能够过审就是很大的进步了。韩国能够凭借《熔炉》改变国家的法律，一部好的现实题材的电影的意义可能会远远高于作品本身。希望大家都去支持一下优秀国产片的票房🙏,力荐,2018-07-04
93,李小丢,北京,年度最佳预定，旁边座的姑娘哭的都抽抽了，忍不住递过去一张纸巾。怪不得王传君不愿意去掺和爱情公寓电影，有这样的电影演谁要去演抄袭剧？配角个个出彩，真实可感的平凡人已经在这个大银幕上消失太久了。,力荐,2018-07-01
94,本位,上海,被导演直接拿剧情糊在了脸上，观感就像是张院长在台上滔滔不绝地介绍德国格列宁。,较差,2018-06-30
